"","Package","PackageDescription","Author.","Depends.","In.views.","Maintainer.","Published.","Version.","Imports.","LinkingTo.","Suggests.","SystemRequirements.","URL.","BugReports.","Enhances.","Reverse.depends.","Reverse.imports.","Reverse.suggests.","Reverse.linking.to.","Reverse.enhances."
"11","BayesFactor","A suite of functions for computing various Bayes factors for simple designs, including contingency tables, one- and two-sample designs, one-way designs, general ANOVA designs, and linear regression.","Richard D. Morey [aut, cre, cph],
  Jeffrey N. Rouder [aut],
  Tahira Jamil [ctb, cph],
  Simon Urbanek [ctb, cph],
  Karl Forner [ctb, cph],
  Alexander Ly [ctb, cph]","R (≥ 3.2.0), coda, Matrix (≥ 1.1-1)","Bayesian","Richard D. Morey  <richarddmorey at gmail.com>","2018-05-19","0.9.12-4.2","pbapply, mvtnorm, stringr, utils, graphics, gtools, MatrixModels, Rcpp (≥ 0.11.2), methods, hypergeo","Rcpp (≥ 0.11.2), RcppEigen (≥ 0.3.2.2.0)","doMC, foreach, testthat, knitr, markdown, arm, lme4, xtable, languageR",NA,"https://richarddmorey.github.io/BayesFactor/","https://github.com/richarddmorey/BayesFactor/issues",NA,"statsr, yarrr","condir, jmv, neuropsychology, psycho","bridgesampling",NA,NA
"12","bayesGARCH","Provides the bayesGARCH() function which performs the Bayesian estimation of the GARCH(1,1) model with Student's t innovations as described in Ardia (2008) <doi:10.1007/978-3-540-78657-3>.","David Ardia [aut, cre]",NA,"Bayesian, Finance","David Ardia  <david.ardia.ch at gmail.com>","2017-02-04","2.1.3","mvtnorm, coda",NA,NA,NA,"https://github.com/ArdiaD/bayesGARCH","https://github.com/ArdiaD/bayesGARCH/issues",NA,NA,NA,NA,NA,NA
"13","bayesImageS","Various algorithms for segmentation of 2D and 3D images, such as computed tomography and satellite remote sensing. This package implements Bayesian image analysis using the hidden Potts model with external field prior of Moores et al. (2015) <doi:10.1016/j.csda.2014.12.001>. Latent labels are sampled using chequerboard updating or Swendsen-Wang. Algorithms for the smoothing parameter include pseudolikelihood, path sampling, the exchange algorithm, approximate Bayesian computation (ABC-MCMC and ABC-SMC), and Bayesian indirect likelihood (BIL). Refer to <doi:10.1007/s11222-014-9525-6> and <arXiv:1503.08066> for further details.","Matt Moores  [aut, cre],
  Kerrie Mengersen  [aut, ths],
  Dai Feng [ctb]","R (≥ 3.0.0)","Bayesian, MedicalImaging","Matt Moores  <mmoores at gmail.com>","2018-08-30","0.5-3","Rcpp (≥ 0.10.6)","Rcpp, RcppArmadillo","mcmcse, coda, PottsUtils, knitr, rmarkdown, rstan, lattice",NA,"https://bitbucket.org/Azeari/bayesimages,
https://mooresm.github.io/bayesImageS/","https://bitbucket.org/Azeari/bayesimages/issues",NA,NA,NA,NA,NA,NA
"14","bayesmeta","A collection of functions allowing to derive the posterior distribution of the two parameters in a random-effects meta-analysis, and providing functionality to evaluate joint and marginal posterior probability distributions, predictive distributions, shrinkage effects, posterior predictive p-values, etc.","Christian Roever [aut, cre],
  Tim Friede [ctb]","forestplot (≥ 1.6), metafor (≥ 2.0-0)","Bayesian, MetaAnalysis","Christian Roever  <christian.roever at med.uni-goettingen.de>","2018-04-12","2.2",NA,NA,"compute.es, knitr, rmarkdown, R.rsp",NA,"https://gitlab.gwdg.de/croever/bayesmeta,
http://ams.med.uni-goettingen.de:3838/bayesmeta/app",NA,NA,NA,NA,NA,NA,NA
"15","bayesmix","The fitting of finite mixture models of univariate Gaussian distributions using JAGS within a Bayesian framework is provided.","Bettina Gruen [aut, cre],
  Martyn Plummer [ctb]","R (≥ 2.10)","Bayesian, Cluster, gR","Bettina Gruen  <Bettina.Gruen at jku.at>","2015-07-01","0.7-4","graphics, stats, methods, rjags (≥ 2.1.0), coda (≥ 0.13)",NA,NA,NA,"http://ifas.jku.at/gruen/BayesMix",NA,NA,NA,NA,NA,NA,NA
"16","bayesQR","Bayesian quantile regression using the asymmetric Laplace distribution, both continuous as well as binary dependent variables are supported. The package consists of implementations of the methods of Yu & Moyeed (2001) <doi:10.1016/S0167-7152(01)00124-9>, Benoit & Van den Poel (2012) <doi:10.1002/jae.1216> and Al-Hamzawi, Yu & Benoit (2012) <doi:10.1177/1471082X1101200304>. To speed up the calculations, the Markov Chain Monte Carlo core of all algorithms is programmed in Fortran and called from R.","Dries F. Benoit, Rahim Al-Hamzawi, Keming Yu, Dirk Van den Poel","R (≥ 3.0), graphics (≥ 3.0), methods (≥ 3.0), stats (≥
3.0), utils (≥ 2.0)","Bayesian","Dries F. Benoit  <Dries.Benoit at UGent.be>","2017-01-27","2.3",NA,NA,NA,NA,NA,NA,NA,NA,"quokar",NA,NA,NA
"17","BayesSummaryStatLM","Methods for generating Markov Chain Monte Carlo (MCMC) posterior samples of Bayesian linear regression model parameters that require only summary statistics of data as input. Summary statistics are useful for systems with very limited amounts of physical memory. The package provides two functions: one function that computes summary statistics of data and one function that carries out the MCMC posterior sampling for Bayesian linear regression models where summary statistics are used as input. The function read.regress.data.ff utilizes the R package 'ff' to handle data sets that are too large to fit into a user's physical memory, by reading in data in chunks.","Evgeny Savel'ev, Alexey Miroshnikov, Erin Conlon","R (≥ 3.1.1), mvnfast, ff","Bayesian","Evgeny Savel'ev  <savelev at vt.edu>","2015-03-03","1.0-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","BayesTree","This is an implementation of BART:Bayesian Additive Regression Trees, by Chipman, George, McCulloch (2010).","Hugh Chipman, Robert McCulloch",NA,"Bayesian, MachineLearning","Robert McCulloch  <robert.e.mcculloch at gmail.com>","2016-07-06","0.3-1.4","nnet",NA,NA,NA,"http://www.r-project.org, http://www.rob-mcculloch.org",NA,NA,NA,"pgbart","BayesTreePrior, causaldrf",NA,NA
"19","BayesValidate","BayesValidate implements the software validation method described in the paper ""Validation of Software for Bayesian Models using Posterior Quantiles"" (Cook, Gelman, and Rubin, 2005). It inputs a function to perform Bayesian inference as well as functions to generate data from the Bayesian model being fit, and repeatedly generates and analyzes data to check that the Bayesian inference program works properly.","Samantha Cook.","R (≥ 2.0.1)","Bayesian","Samantha Cook  <cook at stat.columbia.edu>","2006-03-30","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","BayesVarSel","Conceived to calculate Bayes factors in linear models and then to provide a formal Bayesian answer to testing and variable selection problems. From a theoretical side, the emphasis in this package is placed on the prior distributions and it allows a wide range of them: Jeffreys (1961); Zellner and Siow(1980)<doi:10.1007/bf02888369>; Zellner and Siow(1984); Zellner (1986)<doi:10.2307/2233941>; Fernandez et al. (2001)<doi:10.1016/s0304-4076(00)00076-2>; Liang et al. (2008)<doi:10.1198/016214507000001337> and Bayarri et al. (2012)<doi:10.1214/12-aos1013>. The interaction with the package is through a friendly interface that syntactically mimics the well-known lm() command of R. The resulting objects can be easily explored providing the user very valuable information (like marginal, joint and conditional inclusion probabilities of potential variables; the highest posterior probability model, HPM; the median probability model, MPM) about the structure of the true -data generating- model. Additionally, this package incorporates abilities to handle problems with a large number of potential explanatory variables through parallel and heuristic versions of the main commands, Garcia-Donato and Martinez-Beneito (2013)<doi:10.1080/01621459.2012.742443>.","Gonzalo Garcia-Donato [aut],
  Anabel Forte [aut, cre],
  Carlos Vergara-HernÃ¡ndez [ctb]","MASS (≥ 7.3-45), mvtnorm (≥ 1.0-5), parallel (≥ 3.3.2), R (≥ 3.3.2)","Bayesian","Anabel Forte  <anabel.forte at uv.es>","2017-12-04","1.8.0",NA,NA,NA,NA,"https://github.com/carlosvergara/BayesVarSel","https://github.com/carlosvergara/BayesVarSel/issues",NA,NA,NA,NA,NA,NA
"21","BayesX","Functions for exploring and visualising estimation results obtained with BayesX, a free software for estimating structured additive regression models (<http://www.BayesX.org>). In addition, functions that allow to read, write and manipulate map objects that are required in spatial analyses performed with BayesX.","Nikolaus Umlauf [aut, cre],
  Thomas Kneib [aut],
  Nadja Klein [aut],
  Felix Heinzl [ctb],
  Andreas Brezger [ctb],
  Daniel Sabanes Bove [ctb]","shapefiles","Bayesian","Nikolaus Umlauf  <Nikolaus.Umlauf at uibk.ac.at>","2018-05-18","0.3-0","sp, maptools, colorspace, coda, splines, methods",NA,"spdep, akima, gpclib, rgeos",NA,NA,NA,NA,NA,"sptemExp","bamlss, gamboostLSS, mboost",NA,NA
"22","BayHaz","A suite of R functions for Bayesian estimation of smooth hazard rates via Compound Poisson Process (CPP) and Bayesian Penalized Spline (BPS) priors.","Luca La Rocca","R (≥ 1.8.0), splines","Bayesian, Survival","Luca La Rocca  <luca.larocca at unimore.it>","2012-10-29","0.1-3",NA,NA,"coda",NA,"http://www-dimat.unipv.it/luca/bayhaz.htm",NA,NA,NA,NA,NA,NA,NA
"23","BAYSTAR","The manuscript introduces the BAYSTAR package, which provides the functionality for Bayesian estimation in autoregressive threshold models.","Cathy W. S. Chen, Edward M.H. Lin, F.C. Liu, and Richard
        Gerlach","R (≥ 3.0.1), mvtnorm, coda","Bayesian, TimeSeries","Edward M.H. Lin  <m9281067 at gmail.com>","2013-09-27","0.2-9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","bbemkr","Bayesian bandwidth estimation for Nadaraya-Watson type multivariate kernel regression with Gaussian error density","Han Lin Shang and Xibin Zhang","R (≥ 3.0.1), MASS","Bayesian","Han Lin Shang  <hanlin.shang at anu.edu.au>","2014-04-05","2.0",NA,NA,NA,NA,"https://sites.google.com/site/hanlinshangswebsite/",NA,NA,NA,NA,NA,NA,NA
"25","BCBCSF","Fully Bayesian Classification with a subset of high-dimensional features, such as expression levels of genes. The data are modeled with a hierarchical Bayesian models using heavy-tailed t distributions as priors. When a large number of features are available, one may like to select only a subset of features to use, typically those features strongly correlated with the response in training cases. Such a feature selection procedure is however invalid since the relationship between the response and the features has be exaggerated by feature selection. This package provides a way to avoid this bias and yield better-calibrated predictions for future cases when one uses F-statistic to select features.","Longhai Li","R (≥ 2.13.1), abind","Bayesian","Longhai Li  <longhai at math.usask.ca>","2015-09-26","1.0-1",NA,NA,NA,NA,"http://www.r-project.org, http://math.usask.ca/~longhai",NA,NA,NA,NA,NA,NA,NA
"26","BCE","Function to estimates taxonomic compositions from biomarker data, using a Bayesian approach.","Karel Van den Meersche, Karline Soetaert","R (≥ 2.0.1), FME, limSolve, Matrix","Bayesian","Karel Van den Meersche  <karel.van_den_meersche at cirad.fr>","2014-05-22","2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","bclust","Builds a dendrogram using log posterior as a natural distance defined by the model and meanwhile waits the clustering variables. It is also capable to computing equivalent Bayesian discrimination probabilities. The adopted method suites small sample large dimension setting. The model parameter estimation maybe difficult, depending on data structure and the chosen distribution family.","Vahid PARTOVI NIA and Anthony C. DAVISON","R (≥ 3.2.1), stats, grDevices, graphics","Bayesian, Cluster","Vahid PARTOVI NIA  <vpartovinia at gmail.com>","2015-09-15","1.5",NA,NA,NA,NA,"http://bclust.r-forge.r-project.org/",NA,NA,NA,NA,NA,NA,NA
"28","bcp","Provides an implementation of the Barry and Hartigan (1993) product partition model for the normal errors change point problem using Markov Chain Monte Carlo. It also extends the methodology to regression models on a connected graph (Wang and Emerson, 2015); this allows estimation of change point models with multivariate responses. Parallel MCMC, previously available in bcp v.3.0.0, is currently not implemented.","Xiaofei Wang, Chandra Erdman, and John W. Emerson","graphics, methods, grid","Bayesian, HighPerformanceComputing","Xiaofei Wang  <xiaofei.wang at yale.edu>","2018-08-13","4.0.3","Rcpp (≥ 0.9.2)","Rcpp, RcppArmadillo","DNAcopy, coda, strucchange, vegan, ggplot2, igraph",NA,NA,NA,NA,NA,"PCRedux, phenopix","fPortfolio",NA,NA
"29","BDgraph","Provides statistical tools for Bayesian structure learning in undirected graphical models for continuous, discrete, and mixed data. The package is implemented the recent improvements in the Bayesian graphical models literature, including Mohammadi and Wit (2015) <doi:10.1214/14-BA889>, Mohammadi et al. (2017) <doi:10.1111/rssc.12171>, and Dobra and Mohammadi (2018) <doi:10.1214/18-AOAS1164>. To speed up the computations, the BDMCMC sampling algorithms are implemented in parallel using OpenMP in C++.","Reza Mohammadi [aut, cre] , 
        Ernst Wit [aut, cre], 
        Adrian Dobra [ctb]",NA,"Bayesian, HighPerformanceComputing, gR","Reza Mohammadi  <a.mohammadi at uva.nl>","2018-10-03","2.52","Matrix, igraph",NA,NA,NA,"https://www.uva.nl/profile/a.mohammadi",NA,NA,"ssgraph","bmixture, bootnet, qgraph",NA,NA,NA
"30","bisoreg","Provides functions for fitting Bayesian monotonic regression models to data.","S. McKay Curtis","R (≥ 2.7.0), bootstrap, monreg, R2WinBUGS, coda (≥ 0.17.1)","Bayesian","S. McKay Curtis  <s.mckay.curtis at gmail.com>","2018-06-22","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","BLR","Bayesian Linear Regression.","Gustavo de los Campos, Paulino Perez Rodriguez,","R (≥ 3.1.2), SuppDists","Bayesian","Paulino Perez Rodriguez  <perpdgo at colpos.mx>","2018-08-23","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BMA","Package for Bayesian model averaging and variable selection for linear models, generalized linear models and survival models (cox regression).","Adrian Raftery, Jennifer Hoeting,
        Chris Volinsky, Ian Painter, Ka Yee Yeung","survival, leaps, robustbase, inline, rrcov","Bayesian, Econometrics, SocialSciences, Survival","Hana Sevcikova  <hanas at uw.edu>","2018-09-14","3.18.9","methods",NA,"MASS",NA,"http://stats.research.att.com/volinsky/bma.html",NA,NA,"BCEE, clustvarsel, mlogitBMA","coloc","Ecfun",NA,NA
"33","Bmix","This is a bare-bones implementation of sampling algorithms for a variety of Bayesian stick-breaking (marginally DP) mixture models, including particle learning and Gibbs sampling for static DP mixtures, particle learning for dynamic BAR stick-breaking, and DP mixture regression. The software is designed to be easy to customize to suit different situations and for experimentation with stick-breaking models. Since particles are repeatedly copied, it is not an especially efficient implementation.","Matt Taddy","mvtnorm","Bayesian, Cluster","Matt Taddy  <taddy at chicagobooth.edu>","2016-02-07","0.6",NA,NA,NA,NA,"http://faculty.chicagobooth.edu/matt.taddy",NA,NA,NA,NA,NA,NA,NA
"34","bmixture","Provides statistical tools for Bayesian estimation for finite mixture of distributions, mainly mixture of Gamma, Normal and t-distributions. The package is implemented the recent improvements in Bayesian literature for the finite mixture of distributions, including Mohammadi and et al. (2013) <doi:10.1007/s00180-012-0323-3> and Mohammadi and Salehi-Rad (2012) <doi:10.1080/03610918.2011.588358>.","Reza Mohammadi","R (≥ 3.0.0)","Bayesian, Cluster, Distributions","Reza Mohammadi  <a.mohammadi at uva.nl>","2018-07-05","1.2","BDgraph",NA,NA,NA,"https://www.uva.nl/profile/a.mohammadi",NA,NA,NA,NA,NA,NA,NA
"35","BMS","Bayesian model averaging for linear models with a wide choice of (customizable) priors. Built-in priors include coefficient priors (fixed, flexible and hyper-g priors), 5 kinds of model priors, moreover model sampling by enumeration or various MCMC approaches. Post-processing functions allow for inferring posterior inclusion and model probabilities, various moments, coefficient and predictive densities. Plotting functions available for posterior model size, MCMC convergence, predictive and coefficient densities, best models representation, BMA comparison.","Martin Feldkircher and Stefan Zeugner","R (≥ 2.5)","Bayesian, Econometrics","Stefan Zeugner  <bms at zeugner.eu>","2015-11-24","0.3.4","graphics, methods, stats",NA,NA,NA,"http://bms.zeugner.eu/",NA,NA,NA,"conting, mvMonitoring, TBSSurvival","highfrequency",NA,NA
"36","bnlearn","Bayesian network structure learning, parameter learning and inference. This package implements constraint-based (PC, GS, IAMB, Inter-IAMB, Fast-IAMB, MMPC, Hiton-PC), pairwise (ARACNE and Chow-Liu), score-based (Hill-Climbing and Tabu Search) and hybrid (MMHC and RSMAX2) structure learning algorithms for discrete, Gaussian and conditional Gaussian networks, along with many score functions and conditional independence tests. The Naive Bayes and the Tree-Augmented Naive Bayes (TAN) classifiers are also implemented. Some utility functions (model comparison and manipulation, random data generation, arc orientation testing, simple and advanced plots) are included, as well as support for parameter estimation (maximum likelihood and Bayesian) and inference, conditional probability queries and cross-validation. Development snapshots with the latest bugfixes are available from <http://www.bnlearn.com>.","Marco Scutari [aut, cre], Robert Ness [ctb]","R (≥ 2.14.0), methods","Bayesian, HighPerformanceComputing, gR","Marco Scutari  <marco.scutari at gmail.com>","2018-01-15","4.3",NA,NA,"parallel, graph, Rgraphviz, lattice, gRain, ROCR, Rmpfr, gmp",NA,"http://www.bnlearn.com/",NA,NA,"BNSL, geneNetBP","BayesianNetwork, BayesNetBP, bnviewer, CovSelHigh, imbalance, miic, MoTBFs, MRPC, SELF","BNDataGenerator, BTR, CompareCausalNetworks, OGI, ParallelPC, rbmn, sparsebnUtils",NA,NA
"37","Bolstad","A set of R functions and data sets for the book Introduction to Bayesian Statistics, Bolstad, W.M. (2017), John Wiley & Sons ISBN 978-1-118-09156-2.","James Curran [aut, cre]","R (≥ 3.2.0)","Bayesian","James Curran  <j.curran at auckland.ac.nz>","2018-08-29","0.2-39","mvtnorm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Boom","A C++ library for Bayesian modeling, with an emphasis on Markov chain Monte Carlo. Although boom contains a few R utilities (mainly plotting functions), its primary purpose is to install the BOOM C++ library on your system so that other packages can link against it.","Steven L. Scott is the sole author and creator of the BOOM project.
   Some code in the BOOM libraries has been modified from other open source
   projects.  These include Cephes (obtained from Netlib, written by Stephen
   L. Moshier), NEWUOA (M.J.D Powell, obtained from Powell's web site), and a
   modified version of the R math libraries (R core development team).  Original
   copyright notices have been maintained in all source files.  In these cases,
   copyright claimed by Steven L. Scott is limited to modifications made to the
   original code.  Google claims copyright for code written while Steven
   L. Scott was employed at Google from 2008 - 2018, but BOOM is not an
   officially supported Google project.","MASS, R (≥ 3.1.0)","Bayesian","Steven L. Scott  <steve.the.bayesian at gmail.com>","2018-04-29","0.8",NA,"BH (≥ 1.65.0), RcppEigen (≥ 0.3.3.4.0)",NA,"GNU Make, C++11",NA,NA,NA,"BoomSpikeSlab, bsts","CausalImpact, cbar",NA,"bsts",NA
"39","BoomSpikeSlab","Spike and slab regression a la McCulloch and George (1997).","Steven L. Scott","Boom (≥ 0.8) , R (≥ 3.1.0)","Bayesian","Steven L. Scott  <steve.the.bayesian at gmail.com>","2018-04-30","1.0.0",NA,"BH (≥ 1.65.0)","MASS, testthat",NA,NA,NA,NA,"bsts",NA,NA,NA,NA
"40","bqtl","QTL mapping toolkit for inbred crosses and recombinant inbred lines. Includes maximum likelihood and Bayesian tools.","Charles C. Berry","R (≥ 2.6.0)","Bayesian, Genetics","Charles C. Berry  <cberry at ucsd.edu>","2016-01-29","1.0-32",NA,NA,NA,NA,"http://famprevmed.ucsd.edu/faculty/cberry/bqtl/",NA,NA,NA,NA,NA,NA,NA
