"","Package","PackageDescription","Author.","Citation.","CRAN.checks.","Depends.","In.views.","License.","Maintainer.","NeedsCompilation.","Published.","Version.","Imports.","LinkingTo.","Materials.","Suggests.","SystemRequirements.","URL.","BugReports.","Copyright.","Enhances.","Contact.","Priority.","Reverse.depends.","Reverse.imports.","Reverse.suggests.","Reverse.linking.to.","Reverse.enhances."
"24","bbemkr","Bayesian bandwidth estimation for Nadaraya-Watson type multivariate kernel regression with Gaussian error density","Han Lin Shang and Xibin Zhang",NA,"bbemkr results","R (≥ 3.0.1), MASS","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Han Lin Shang  <hanlin.shang at anu.edu.au>","no","2014-04-05","2.0",NA,NA,"ChangeLog",NA,NA,"https://sites.google.com/site/hanlinshangswebsite/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","BCBCSF","Fully Bayesian Classification with a subset of high-dimensional features, such as expression levels of genes. The data are modeled with a hierarchical Bayesian models using heavy-tailed t distributions as priors. When a large number of features are available, one may like to select only a subset of features to use, typically those features strongly correlated with the response in training cases. Such a feature selection procedure is however invalid since the relationship between the response and the features has be exaggerated by feature selection. This package provides a way to avoid this bias and yield better-calibrated predictions for future cases when one uses F-statistic to select features.","Longhai Li",NA,"BCBCSF results","R (≥ 2.13.1), abind","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Longhai Li  <longhai at math.usask.ca>","yes","2015-09-26","1.0-1",NA,NA,NA,NA,NA,"http://www.r-project.org, http://math.usask.ca/~longhai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","BCE","Function to estimates taxonomic compositions from biomarker data, using a Bayesian approach.","Karel Van den Meersche, Karline Soetaert",NA,"BCE results","R (≥ 2.0.1), FME, limSolve, Matrix","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Karel Van den Meersche  <karel.van_den_meersche at cirad.fr>","no","2014-05-22","2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","bclust","Builds a dendrogram using log posterior as a natural distance defined by the model and meanwhile waits the clustering variables. It is also capable to computing equivalent Bayesian discrimination probabilities. The adopted method suites small sample large dimension setting. The model parameter estimation maybe difficult, depending on data structure and the chosen distribution family.","Vahid PARTOVI NIA and Anthony C. DAVISON","bclust citation info","bclust results","R (≥ 3.2.1), stats, grDevices, graphics","Bayesian, Cluster","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Vahid PARTOVI NIA  <vpartovinia at gmail.com>","yes","2015-09-15","1.5",NA,NA,NA,NA,NA,"http://bclust.r-forge.r-project.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","bcp","Provides an implementation of the Barry and Hartigan (1993) product partition model for the normal errors change point problem using Markov Chain Monte Carlo. It also extends the methodology to regression models on a connected graph (Wang and Emerson, 2015); this allows estimation of change point models with multivariate responses. Parallel MCMC, previously available in bcp v.3.0.0, is currently not implemented.","Xiaofei Wang, Chandra Erdman, and John W. Emerson","bcp citation info","bcp results","graphics, methods, grid","Bayesian, HighPerformanceComputing","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Xiaofei Wang  <xiaofei.wang at yale.edu>","yes","2018-08-13","4.0.3","Rcpp (≥ 0.9.2)","Rcpp, RcppArmadillo","README","DNAcopy, coda, strucchange, vegan, ggplot2, igraph",NA,NA,NA,NA,NA,NA,NA,NA,"PCRedux, phenopix","fPortfolio",NA,NA
"29","BDgraph","Provides statistical tools for Bayesian structure learning in undirected graphical models for continuous, discrete, and mixed data. The package is implemented the recent improvements in the Bayesian graphical models literature, including Mohammadi and Wit (2015) <doi:10.1214/14-BA889>, Mohammadi et al. (2017) <doi:10.1111/rssc.12171>, and Dobra and Mohammadi (2018) <doi:10.1214/18-AOAS1164>. To speed up the computations, the BDMCMC sampling algorithms are implemented in parallel using OpenMP in C++.","Reza Mohammadi [aut, cre] , 
        Ernst Wit [aut, cre], 
        Adrian Dobra [ctb]","BDgraph citation info","BDgraph results",NA,"Bayesian, HighPerformanceComputing, gR","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Reza Mohammadi  <a.mohammadi at uva.nl>","yes","2018-10-03","2.52","Matrix, igraph",NA,"NEWS",NA,NA,"https://www.uva.nl/profile/a.mohammadi",NA,NA,NA,NA,NA,"ssgraph","bmixture, bootnet, qgraph",NA,NA,NA
"30","bisoreg","Provides functions for fitting Bayesian monotonic regression models to data.","S. McKay Curtis",NA,"bisoreg results","R (≥ 2.7.0), bootstrap, monreg, R2WinBUGS, coda (≥ 0.17.1)","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","S. McKay Curtis  <s.mckay.curtis at gmail.com>","yes","2018-06-22","1.5",NA,NA,"NEWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","BLR","Bayesian Linear Regression.","Gustavo de los Campos, Paulino Perez Rodriguez,",NA,"BLR results","R (≥ 3.1.2), SuppDists","Bayesian","GPL-2","Paulino Perez Rodriguez  <perpdgo at colpos.mx>","yes","2018-08-23","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BMA","Package for Bayesian model averaging and variable selection for linear models, generalized linear models and survival models (cox regression).","Adrian Raftery, Jennifer Hoeting,
        Chris Volinsky, Ian Painter, Ka Yee Yeung",NA,"BMA results","survival, leaps, robustbase, inline, rrcov","Bayesian, Econometrics, SocialSciences, Survival","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Hana Sevcikova  <hanas at uw.edu>","yes","2018-09-14","3.18.9","methods",NA,"ChangeLog","MASS",NA,"http://stats.research.att.com/volinsky/bma.html",NA,NA,NA,NA,NA,"BCEE, clustvarsel, mlogitBMA","coloc","Ecfun",NA,NA
"33","Bmix","This is a bare-bones implementation of sampling algorithms for a variety of Bayesian stick-breaking (marginally DP) mixture models, including particle learning and Gibbs sampling for static DP mixtures, particle learning for dynamic BAR stick-breaking, and DP mixture regression. The software is designed to be easy to customize to suit different situations and for experimentation with stick-breaking models. Since particles are repeatedly copied, it is not an especially efficient implementation.","Matt Taddy",NA,"Bmix results","mvtnorm","Bayesian, Cluster","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Matt Taddy  <taddy at chicagobooth.edu>","yes","2016-02-07","0.6",NA,NA,NA,NA,NA,"http://faculty.chicagobooth.edu/matt.taddy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","bmixture","Provides statistical tools for Bayesian estimation for finite mixture of distributions, mainly mixture of Gamma, Normal and t-distributions. The package is implemented the recent improvements in Bayesian literature for the finite mixture of distributions, including Mohammadi and et al. (2013) <doi:10.1007/s00180-012-0323-3> and Mohammadi and Salehi-Rad (2012) <doi:10.1080/03610918.2011.588358>.","Reza Mohammadi","bmixture citation info","bmixture results","R (≥ 3.0.0)","Bayesian, Cluster, Distributions","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Reza Mohammadi  <a.mohammadi at uva.nl>","yes","2018-07-05","1.2","BDgraph",NA,"NEWS",NA,NA,"https://www.uva.nl/profile/a.mohammadi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
